n	version1	version2	version3	version4
412	5.493e-03	1.680e-02	4.028e-03	3.245e-03
413	5.471e-03	1.666e-02	4.028e-03	3.299e-03
414	5.490e-03	1.664e-02	4.040e-03	3.266e-03
415	5.513e-03	1.667e-02	4.063e-03	3.304e-03
416	6.628e-03	1.667e-02	4.050e-03	3.279e-03
417	5.541e-03	1.663e-02	4.068e-03	3.288e-03
418	5.491e-03	1.673e-02	4.070e-03	3.277e-03
419	5.566e-03	1.668e-02	3.950e-03	3.290e-03
420	5.469e-03	1.680e-02	4.013e-03	3.261e-03
421	5.519e-03	1.671e-02	4.008e-03	3.295e-03
422	5.462e-03	1.669e-02	3.992e-03	3.270e-03
423	5.443e-03	1.675e-02	3.959e-03	3.186e-03
424	5.447e-03	1.670e-02	3.966e-03	3.232e-03
425	5.401e-03	1.671e-02	3.989e-03	3.246e-03
426	5.477e-03	1.668e-02	3.987e-03	3.244e-03
427	5.422e-03	1.670e-02	4.013e-03	3.285e-03
428	5.404e-03	1.674e-02	3.984e-03	3.185e-03
429	5.453e-03	1.672e-02	3.979e-03	3.241e-03
430	5.412e-03	1.672e-02	3.950e-03	3.212e-03
431	5.466e-03	1.667e-02	3.958e-03	3.229e-03
432	5.448e-03	1.670e-02	4.005e-03	3.269e-03
433	5.488e-03	1.666e-02	4.056e-03	3.262e-03
434	5.531e-03	1.670e-02	3.971e-03	3.222e-03
435	5.449e-03	1.676e-02	3.955e-03	3.205e-03
436	5.434e-03	1.669e-02	3.979e-03	3.256e-03
437	5.426e-03	1.672e-02	4.030e-03	3.260e-03
438	5.426e-03	1.722e-02	3.977e-03	3.226e-03
439	5.401e-03	1.676e-02	4.070e-03	3.326e-03
440	5.458e-03	1.687e-02	3.953e-03	3.189e-03
441	5.428e-03	1.705e-02	3.944e-03	3.273e-03
442	5.567e-03	1.697e-02	4.063e-03	3.242e-03
443	5.459e-03	1.704e-02	4.515e-03	3.537e-03
444	5.562e-03	1.690e-02	4.039e-03	3.247e-03
445	5.436e-03	1.684e-02	3.972e-03	3.223e-03
446	5.431e-03	1.682e-02	4.069e-03	3.224e-03
447	5.560e-03	1.706e-02	4.111e-03	3.259e-03
448	5.473e-03	1.710e-02	4.081e-03	3.312e-03
449	5.598e-03	1.684e-02	3.940e-03	3.219e-03
450	5.534e-03	1.705e-02	3.955e-03	3.169e-03
451	5.477e-03	1.752e-02	3.946e-03	3.233e-03
452	5.670e-03	1.700e-02	4.093e-03	3.334e-03
453	5.508e-03	1.694e-02	4.029e-03	3.273e-03
454	5.563e-03	1.690e-02	3.983e-03	3.234e-03
455	5.541e-03	1.684e-02	3.979e-03	3.227e-03
456	5.457e-03	1.687e-02	3.993e-03	3.249e-03
457	5.463e-03	1.705e-02	3.977e-03	3.268e-03
458	5.511e-03	1.691e-02	4.007e-03	3.243e-03
459	5.430e-03	1.717e-02	3.950e-03	3.325e-03
460	5.633e-03	1.696e-02	4.041e-03	3.338e-03
461	5.539e-03	1.695e-02	4.009e-03	3.266e-03
462	5.520e-03	1.688e-02	4.054e-03	3.402e-03
463	5.492e-03	1.671e-02	3.938e-03	3.218e-03
